









Frequency of observations in the selected location(s).:
Number of taxa: 	477

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Anas sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.643E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020576	0.0014265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Rosy-billed Pochard	0.3504929	0.3690476	0.3416149	0.3605016	0.3427673	0.3253012	0.2855377	0.3530378	0.34375	0.3385519	0.3045872	0.3189771	0.3120155	0.2798265	0.2510373	0.2319328	0.2357564	0.2181818	0.2427984	0.2738944	0.2735675	0.275	0.3305613	0.2875606	0.3560886	0.3345455	0.2793594	0.3449132	0.3013029	0.2602965	0.3540146	0.3144796	0.331675	0.3031123	0.2579251	0.3128259	0.3026961	0.3577628	0.3733863	0.3227092	0.4117647	0.3710021	0.3470716	0.3597413	0.3125734	0.3480392	0.3484848	0.3285164	
Black-headed Duck	0.0536692	0.0714286	0.0403727	0.0386625	0.0550314	0.0421687	0.0333745	0.0394089	0.0434028	0.0254403	0.0366972	0.0269179	0.0232558	0.0130152	0.0124481	0.005042	0.0058939	0.0060606	0.0102881	0.0099857	0.0110906	0.0104167	0.006237	0.0113086	0.0239852	0.0145455	0.0284698	0.0421836	0.0358306	0.0263591	0.0547445	0.0486425	0.0630182	0.0514208	0.054755	0.0458811	0.0612745	0.0703954	0.0506455	0.0669323	0.0761813	0.0692964	0.0563991	0.0444624	0.0481786	0.0465686	0.0517677	0.0279383	
Masked Duck	0.0164294	0.0079365	0.0217391	0.0229885	0.004717	0.0150602	0.0061805	0.0098522	0.0104167	0.0097847	0.0055046	0.0067295	0.0077519	0.0021692	0.0020747	0.0016807	0.0078585	0.0015	0.0015	0.0015	0.0036969	0.0020833	0.006237	0.0113086	0.0166052	0.0127273	0.0266904	0.0421836	0.0814332	0.014827	0.0839416	0.0893665	0.0679934	0.0744249	0.0706052	0.0615224	0.060049	0.0925747	0.1151936	0.0820717	0.1060752	0.0884861	0.0759219	0.065481	0.0458284	0.0269608	0.0214646	0.0183044	
Lake Duck	0.0700986	0.0727513	0.0621118	0.0626959	0.0471698	0.0557229	0.0729295	0.0821018	0.0486111	0.0489237	0.0568807	0.0713324	0.0465116	0.0455531	0.033195	0.0453782	0.0530452	0.0424242	0.0534979	0.0513552	0.051756	0.0520833	0.043659	0.0840065	0.0793358	0.06	0.0907473	0.0669975	0.0944625	0.062603	0.0729927	0.0904977	0.1293532	0.1001353	0.0951009	0.0855057	0.0894608	0.1070395	0.0893744	0.123506	0.1060752	0.0778252	0.0574837	0.0525465	0.0634548	0.0625	0.0467172	0.0462428	
duck sp.	0.0021906	0.0026455	0.0	0.0	0.0	0.0	0.0012361	0.0015	0.0015	0.0	0.0	0.0026918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018484	0.0	0.0	0.0016155	0.001845	0.0018182	0.0	0.0024814	0.0	0.0015	0.0	0.0011312	0.0033167	0.0013532	0.0014409	0.0010428	0.0	0.0	9.93E-4	0.0	0.0	0.0010661	0.0010846	8.084E-4	0.0011751	0.0	0.0025253	9.634E-4	
waterfowl sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.93E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dusky-legged Guan	0.0186199	0.0277778	0.0248447	0.0261233	0.0251572	0.0225904	0.0247219	0.0180624	0.0243056	0.0117417	0.012844	0.025572	0.0116279	0.0173536	0.0041494	0.0067227	0.0058939	0.0121212	0.0185185	0.0199715	0.0147874	0.025	0.014553	0.0210016	0.0295203	0.0109091	0.0213523	0.0248139	0.0065147	0.0181219	0.0145985	0.0192308	0.0099502	0.0460081	0.0273775	0.0271116	0.0367647	0.048216	0.0307845	0.0119522	0.0221794	0.021322	0.0466377	0.0299111	0.0188014	0.0355392	0.0315657	0.0144509	
