









Frequency of observations in the selected location(s).:
Number of taxa: 	645

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Anas sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
teal sp.	3.698E-4	4.843E-4	0.0	0.0	0.0015221	4.433E-4	4.072E-4	5.845E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.072E-4	0.0	0.0	0.0014045	0.0	5.382E-4	0.0015	0.0	0.0	0.0	0.0	0.0	5.025E-4	0.0	3.935E-4	0.0015	0.0	0.0	3.143E-4	7.692E-4	4.221E-4	0.0	0.0	0.0	0.0	5.4E-4	0.0	
dabbling duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.159E-4	
Rosy-billed Pochard	0.0440089	0.0338983	0.0268562	0.0349153	0.0421106	0.0288121	0.0289088	0.0280538	0.0301047	0.0146569	0.0264853	0.0322296	0.0271575	0.0145732	0.0271883	0.0135575	0.022	0.0124027	0.0189445	0.0101471	0.0211749	0.0141443	0.0245098	0.0236721	0.0287921	0.0433589	0.0387513	0.0469283	0.0356117	0.0263158	0.0467079	0.0376862	0.0472485	0.059799	0.0519815	0.046832	0.0621712	0.069233	0.0592486	0.0562539	0.0561538	0.067539	0.0593142	0.0602277	0.0547288	0.0473485	0.0561555	0.0521162	
Black-headed Duck	0.0244083	0.0256659	0.0136914	0.0210169	0.0243531	0.0146277	0.0126221	0.0175336	0.0150524	0.0086609	0.0128848	0.0092715	0.013277	0.0034698	0.005305	0.0070499	0.008	0.0051918	0.0040595	0.0025368	0.0027322	0.0049505	0.0081699	0.0080831	0.0021067	0.0104281	0.0118407	0.0106655	0.0045951	0.0091799	0.0101294	0.0087642	0.0144525	0.0100503	0.0102934	0.0137741	0.0157819	0.0172364	0.0137283	0.0188561	0.015	0.0194175	0.0222428	0.0132207	0.0177628	0.0198864	0.0205184	0.0224258	
Masked Duck	0.0033284	0.001937	0.0010532	0.0010169	0.0	0.0	0.0	5.845E-4	6.545E-4	0.0	7.158E-4	4.415E-4	6.035E-4	0.0	6.631E-4	5.423E-4	0.0015	2.884E-4	0.0	0.0	0.0	0.0	0.0010893	0.0	0.0	0.0010977	5.382E-4	0.0015	0.0028719	0.002448	0.0011255	0.0030675	0.0022235	0.0040201	0.0066907	0.0015742	0.0047824	0.0028727	0.0032514	0.0018856	7.692E-4	0.0012664	9.268E-4	0.0022035	0.0019203	4.735E-4	5.4E-4	0.0	
Lake Duck	0.0495562	0.0368039	0.0373881	0.0538983	0.0644343	0.0452128	0.0370521	0.0601987	0.0556283	0.0353098	0.0393701	0.0370861	0.0537115	0.0346981	0.0278515	0.0352495	0.0495	0.0360542	0.0324763	0.0218163	0.0348361	0.0339463	0.0359477	0.0386836	0.0435393	0.0455543	0.0559742	0.0499147	0.0292935	0.0330477	0.0410805	0.035057	0.0466926	0.0407035	0.0396294	0.0464384	0.0368245	0.0445274	0.029263	0.0392835	0.0319231	0.046011	0.0398517	0.0356225	0.0350456	0.0411932	0.0394168	0.0476943	
duck sp.	0.0014793	0.0014528	0.0031596	0.0023729	0.0025368	0.0022163	0.0016287	0.0011689	0.0032723	6.662E-4	0.0014316	0.001766	0.0	0.0020819	0.0039788	0.0027115	0.0035	0.0028843	0.0020298	0.0010147	6.831E-4	0.0028289	0.0021786	0.0023095	0.0042135	5.488E-4	0.0043057	0.0042662	0.0040207	0.004284	0.0078784	0.0048203	0.0016676	0.0020101	0.001544	0.0031484	0.0043042	0.0054582	0.0032514	0.0025141	0.0042308	0.0029548	0.0032437	7.345E-4	0.0028805	0.0033144	5.4E-4	0.002211	
waterfowl sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.159E-4	
Dusky-legged Guan	0.0073964	0.009201	0.0163244	0.0115254	0.0116692	0.0110816	0.014658	0.012858	0.0150524	0.0153231	0.0100215	0.0083885	0.009656	0.0062457	0.0106101	0.0097614	0.0075	0.0106721	0.0121786	0.0136986	0.0088798	0.0106082	0.0163399	0.0150115	0.0147472	0.0126235	0.0161464	0.0132253	0.0126364	0.0091799	0.0129432	0.0140228	0.0077821	0.0095477	0.0149254	0.0125935	0.0153037	0.0158001	0.0195087	0.0084852	0.0096154	0.0198396	0.0143652	0.0124862	0.0148824	0.014678	0.0113391	0.011055	
Helmeted Guineafowl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.935E-4	4.782E-4	8.618E-4	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	5.4E-4	0.0	
California Quail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
